Reference,Model,Resolved,DNP,Classification
C1,C_0805_2012Metric.step,True,False,KiCad library package model
C10,C_0805_2012Metric.step,True,False,KiCad library package model
C11,C_0603_1608Metric.step,True,False,KiCad library package model
C12,C_0402_1005Metric.step,True,False,KiCad library package model
C13,C_0603_1608Metric.step,True,False,KiCad library package model
C14,C_1206_3216Metric.step,True,False,KiCad library package model
C15,C_1206_3216Metric.step,True,False,KiCad library package model
C16,C_1206_3216Metric.step,True,False,KiCad library package model
C17,C_0805_2012Metric.step,True,False,KiCad library package model
C18,C_0402_1005Metric.step,True,False,KiCad library package model
C19,C_0402_1005Metric.step,True,False,KiCad library package model
C2,C_0805_2012Metric.step,True,False,KiCad library package model
C20,C_0402_1005Metric.step,True,False,KiCad library package model
C21,C_1206_3216Metric.step,True,False,KiCad library package model
C22,C_0402_1005Metric.step,True,False,KiCad library package model
C23,C_0402_1005Metric.step,True,False,KiCad library package model
C24,C_0402_1005Metric.step,True,False,KiCad library package model
C25,C_0402_1005Metric.step,True,False,KiCad library package model
C26,C_1206_3216Metric.step,True,False,KiCad library package model
C27,C_0805_2012Metric.step,True,False,KiCad library package model
C28,C_0402_1005Metric.step,True,False,KiCad library package model
C29,C_0402_1005Metric.step,True,False,KiCad library package model
C3,C_0603_1608Metric.step,True,False,KiCad library package model
C30,C_0402_1005Metric.step,True,False,KiCad library package model
C31,C_0603_1608Metric.step,True,False,KiCad library package model
C32,C_0402_1005Metric.step,True,False,KiCad library package model
C33,C_0402_1005Metric.step,True,False,KiCad library package model
C34,C_0402_1005Metric.step,True,False,KiCad library package model
C4,C_0402_1005Metric.step,True,False,KiCad library package model
C5,C_0603_1608Metric.step,True,False,KiCad library package model
C6,C_1206_3216Metric.step,True,False,KiCad library package model
C7,C_1206_3216Metric.step,True,False,KiCad library package model
C8,C_1206_3216Metric.step,True,False,KiCad library package model
C9,C_0805_2012Metric.step,True,False,KiCad library package model
D1,LED_0603_1608Metric.step,True,False,KiCad library package model
D2,LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100.step,True,False,KiCad library package model
J1,JST_B2B-PH-SM4-TB_simplified.step,True,False,Generated simplified drawing-based model
J2,HRO_TYPE-C-31-M-12.step,True,False,Existing repository part model
J3,JST_B2B-PH-SM4-TB_simplified.step,True,False,Generated simplified drawing-based model
J4,PinHeader_1x04_P2.54mm_Vertical.step,True,False,KiCad library package model
L1,XFL4020-152MEC.step,True,False,Existing repository part model
L2,XFL4020-152MEC.step,True,False,Existing repository part model
Q1,SOT-23.step,True,False,KiCad library package model
Q2,SOT-23.step,True,False,KiCad library package model
Q3,SOT-23.step,True,False,KiCad library package model
Q4,SOT-23.step,True,False,KiCad library package model
Q5,SOT-23.step,True,False,KiCad library package model
Q6,SOT-23.step,True,False,KiCad library package model
Q7,SOT-23.step,True,False,KiCad library package model
R1,R_0402_1005Metric.step,True,False,KiCad library package model
R10,R_0402_1005Metric.step,True,False,KiCad library package model
R11,R_0402_1005Metric.step,True,True,KiCad library package model
R12,R_0402_1005Metric.step,True,False,KiCad library package model
R13,R_0402_1005Metric.step,True,False,KiCad library package model
R14,R_0402_1005Metric.step,True,False,KiCad library package model
R15,R_0402_1005Metric.step,True,False,KiCad library package model
R16,R_0402_1005Metric.step,True,False,KiCad library package model
R17,R_0402_1005Metric.step,True,False,KiCad library package model
R18,R_0402_1005Metric.step,True,False,KiCad library package model
R19,R_0402_1005Metric.step,True,False,KiCad library package model
R20,R_0402_1005Metric.step,True,False,KiCad library package model
R21,R_0402_1005Metric.step,True,False,KiCad library package model
R22,R_0402_1005Metric.step,True,False,KiCad library package model
R23,R_0402_1005Metric.step,True,False,KiCad library package model
R24,R_0402_1005Metric.step,True,False,KiCad library package model
R25,R_0402_1005Metric.step,True,False,KiCad library package model
R26,R_0402_1005Metric.step,True,False,KiCad library package model
R27,R_0402_1005Metric.step,True,False,KiCad library package model
R28,R_0402_1005Metric.step,True,False,KiCad library package model
R29,R_0402_1005Metric.step,True,False,KiCad library package model
R3,R_0402_1005Metric.step,True,False,KiCad library package model
R30,R_0402_1005Metric.step,True,False,KiCad library package model
R31,R_0402_1005Metric.step,True,False,KiCad library package model
R32,R_0402_1005Metric.step,True,False,KiCad library package model
R33,R_0402_1005Metric.step,True,False,KiCad library package model
R34,R_0402_1005Metric.step,True,False,KiCad library package model
R35,R_0402_1005Metric.step,True,False,KiCad library package model
R36,R_0402_1005Metric.step,True,False,KiCad library package model
R37,R_0402_1005Metric.step,True,False,KiCad library package model
R38,R_0402_1005Metric.step,True,False,KiCad library package model
R39,R_0402_1005Metric.step,True,False,KiCad library package model
R4,R_0402_1005Metric.step,True,False,KiCad library package model
R40,R_0402_1005Metric.step,True,False,KiCad library package model
R41,R_0402_1005Metric.step,True,False,KiCad library package model
R42,R_0402_1005Metric.step,True,False,KiCad library package model
R43,R_0402_1005Metric.step,True,False,KiCad library package model
R44,R_0402_1005Metric.step,True,False,KiCad library package model
R45,R_0402_1005Metric.step,True,False,KiCad library package model
R46,R_0402_1005Metric.step,True,False,KiCad library package model
R47,R_0402_1005Metric.step,True,False,KiCad library package model
R48,R_0402_1005Metric.step,True,False,KiCad library package model
R49,R_0402_1005Metric.step,True,False,KiCad library package model
R5,R_0402_1005Metric.step,True,False,KiCad library package model
R6,R_0402_1005Metric.step,True,False,KiCad library package model
R7,R_0402_1005Metric.step,True,False,KiCad library package model
R8,R_0402_1005Metric.step,True,False,KiCad library package model
R9,R_0402_1005Metric.step,True,False,KiCad library package model
SW1,SW_SPDT_Shouhan_MSK12C02.step,True,False,Footprint-specific model; schematic selects MSK12C02
SW2,TS-1187A-B-A-B.step,True,False,Community model; actuator variant provisional
SW3,TS-1187A-B-A-B.step,True,False,Community model; actuator variant provisional
SW4,TS-1187A-B-A-B.step,True,False,Community model; actuator variant provisional
SW5,TS-1187A-B-A-B.step,True,False,Community model; actuator variant provisional
SW6,TS-1187A-B-A-B.step,True,False,Community model; actuator variant provisional
SW7,TS-1187A-B-A-B.step,True,False,Community model; actuator variant provisional
U1,TPS63070RNM.step,True,False,Existing repository part model
U2,TPS63070RNM.step,True,False,Existing repository part model
U3,ESP32-S3-WROOM-1.step,True,False,KiCad module STEP; antenna overhang footprint variant
U4,SOT-23-6.step,True,False,KiCad library package model
U5,RV-3028-C7_simplified.step,True,False,Generated simplified drawing-based model
U6,MAX98357A_TQFN16_simplified.step,True,False,Generated simplified package model
U7,VSSOP-8_2.3x2mm_P0.5mm.step,True,False,KiCad library package model
U8,SOT-23-6.step,True,False,KiCad library package model
