Comment,Designator,Footprint,LCSC
10uF,C1 C2,C_0805_2012Metric,C15850
10uF,C3 C5,C_0402_1005Metric,C15525
0.1uF,C4 C10 C11 C12,C_0402_1005Metric,C1525
22uF,C6 C7 C8 C9,C_0805_2012Metric,C45783
LED,D1 D3,LED_0603_1608Metric,C2286
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
1.5uH,L1,IND_XFL4020-152MEC,C3033018
AO3401A,Q1,SOT-23,C15127
1k,R1 R6,R_0402_1005Metric,C11702
10k,R2 R7 R8,R_0402_1005Metric,C25744
470k,R3,R_0402_1005Metric,C168230
150k,R4,R_0402_1005Metric,C25755
100k,R5 R11,R_0402_1005Metric,C25741
5.1k,R9 R10,R_0402_1005Metric,C25905
MK-12C03-G015,SW1,SW_SPDT_Shouhan_MSK12C02,C2890358
RESET,SW2,SW_SPST_TL3342,C318884
BOOT,SW3,SW_SPST_TL3342,C318884
TPS63070RNMR,U1,TPS63070,C109322
ESP32-S3-WROOM-1-N16,U2,ESP32-S3-WROOM-1,C2913199
USBLC6-2SC6,U3,SOT-23-6,C7519
