Designator,Mid X,Mid Y,Rotation,Layer
C1,116.6175mm,95.5075mm,90,top
C2,118.8875mm,95.4875mm,90,top
C3,120.5775mm,96.2675mm,90,top
C4,123.6675mm,100.0175mm,-90,top
C5,125.6675mm,96.2875mm,90,top
C6,127.4075mm,95.5175mm,90,top
C7,129.6375mm,95.5075mm,90,top
C8,131.8275mm,95.5075mm,90,top
C9,166.6675mm,89.8575mm,0,top
C10,166.9975mm,91.5175mm,0,top
C11,164.09mm,91.49mm,180,top
C12,136.01mm,112.96mm,0,top
D1,113.01mm,92.73mm,-90,top
D3,142.785mm,101.9mm,180,top
J3,114.2875mm,114.2675mm,-90,top
L1,123.1125mm,92.5845mm,0,top
Q1,127.5775mm,108.1775mm,-90,top
R1,113.01mm,95.83mm,90,top
R2,119.7475mm,98.0875mm,0,top
R3,126.1775mm,98.3275mm,180,top
R4,126.1775mm,99.4775mm,180,top
R5,122.44mm,100.79mm,90,top
R6,139.9375mm,101.9mm,0,top
R7,137.3775mm,110.1575mm,-90,top
R8,137.3575mm,93.6475mm,90,top
R9,120.8375mm,116.3025mm,0,top
R10,120.8175mm,112.0425mm,0,top
R11,126.1375mm,111.1275mm,180,top
SW1,113.205mm,103.26mm,-90,top
SW2,142.7875mm,95.0475mm,180,top
SW3,142.7875mm,108.7575mm,0,top
U1,123.1275mm,98.2975mm,0,top
U2,162.6275mm,101.9mm,-90,top
U3,132.8275mm,112.965mm,0,top
