Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10µF","C_0805_2012Metric",116.6175,-95.5075,90.0000,top
"C2","10µF","C_0805_2012Metric",118.8875,-95.4875,90.0000,top
"C3","10µF","C_0402_1005Metric",120.5775,-96.2675,90.0000,top
"C4","0.1µF","C_0402_1005Metric",123.6675,-100.0175,-90.0000,top
"C5","10µF","C_0402_1005Metric",125.6675,-96.2875,90.0000,top
"C6","22µF","C_0805_2012Metric",127.4075,-95.5175,90.0000,top
"C7","22µF","C_0805_2012Metric",129.6375,-95.5075,90.0000,top
"C8","22µF","C_0805_2012Metric",131.8275,-95.5075,90.0000,top
"C9","22µF","C_0805_2012Metric",166.6675,-89.8575,0.0000,top
"C10","0.1µF","C_0402_1005Metric",166.9975,-91.5175,0.0000,top
"C11","0.1µF","C_0402_1005Metric",164.0900,-91.4900,180.0000,top
"C12","0.1µF","C_0402_1005Metric",136.0100,-112.9600,0.0000,top
"D1","LED","LED_0603_1608Metric",112.5975,-89.0675,90.0000,top
"D2","3.6v","D_SOD-323",134.1075,-95.4420,90.0000,top
"D3","LED","LED_0603_1608Metric",142.7850,-101.9000,0.0000,top
"J3","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",114.2875,-114.2675,-90.0000,top
"L1","1.5µH","IND_XFL4020-152MEC",123.1125,-92.5845,0.0000,top
"Q1","Q_PMOS_GSD","SOT-23",127.5775,-108.1775,90.0000,top
"R1","1kΩ","R_0402_1005Metric",112.5975,-92.1675,90.0000,top
"R2","10kΩ","R_0402_1005Metric",119.7475,-98.0875,0.0000,top
"R3","470kΩ","R_0402_1005Metric",126.1775,-98.3275,180.0000,top
"R4","150kΩ","R_0402_1005Metric",126.1775,-99.4775,180.0000,top
"R5","100kΩ","R_0402_1005Metric",122.4400,-100.7900,90.0000,top
"R6","1kΩ","R_0402_1005Metric",139.9375,-101.9000,0.0000,top
"R7","10kΩ","R_0402_1005Metric",137.3775,-110.1575,-90.0000,top
"R8","10kΩ","R_0402_1005Metric",137.3575,-93.6475,90.0000,top
"R9","5.1kΩ","R_0402_1005Metric",120.8375,-116.3025,0.0000,top
"R10","5.1kΩ","R_0402_1005Metric",120.8175,-112.0425,0.0000,top
"R11","100kΩ","R_0402_1005Metric",126.1375,-111.1275,180.0000,top
"SW1","ON/OFF","SW_SPST_CK_RS282G05A3",112.6275,-101.9000,90.0000,top
"SW2","RESET","SW_SPST_TL3342",142.7875,-95.0475,180.0000,top
"SW3","BOOT","SW_SPST_TL3342",142.7875,-108.7575,0.0000,top
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",162.6275,-101.9000,-90.0000,top
"U3","USBLC6-2SC6","SOT-23-6",132.8275,-112.9650,0.0000,top
